"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019229","regulation of vasoconstriction","6/254","64/18870",0.000218770067119994,0.0242666489836178,0.0223287181866197,"LEP/ATP1A2/FGG/FGA/KCNMB2/FGB",6
"GO:0007596","blood coagulation","11/254","224/18870",0.000237213933149827,0.0253379623408927,0.0233144766265386,"F2/HPSE/VTN/FGG/SERPINC1/PDIA2/CPB2/MMRN1/FGL1/FGA/FGB",11
"GO:0002251","organ or tissue specific immune response","5/254","43/18870",0.000269285937506248,0.0277364515631436,0.0255214228741824,"H2BC7/H2BC11/H2BC6/H2BC10/GP2",5
"GO:0050817","coagulation","11/254","229/18870",0.000286748671861918,0.027836905967673,0.0256138550056587,"F2/HPSE/VTN/FGG/SERPINC1/PDIA2/CPB2/MMRN1/FGL1/FGA/FGB",11
"GO:0034767","positive regulation of monoatomic ion transmembrane transport","9/254","158/18870",0.000296002482292317,0.027836905967673,0.0256138550056587,"PLP1/F2/MS4A1/FXYD1/LRRC26/DRD1/CD19/GALR2/KCNH2",9
"GO:0003018","vascular process in circulatory system","12/254","269/18870",0.000302008902122577,0.027836905967673,0.0256138550056587,"SLC7A5/LEP/TFRC/DRD1/ATP1A2/FGG/SLC4A4/ABCC3/SLC7A1/FGA/KCNMB2/FGB",12
"GO:0007599","hemostasis","11/254","231/18870",0.000308869969128134,0.027836905967673,0.0256138550056587,"F2/HPSE/VTN/FGG/SERPINC1/PDIA2/CPB2/MMRN1/FGL1/FGA/FGB",11
"GO:0010959","regulation of metal ion transport","15/254","398/18870",0.000343171468470012,0.0299911065171974,0.0275960214358182,"PLP1/TRPV3/F2/MS4A1/FXYD1/JPH1/LRRC26/DRD1/ATP1A2/CD19/GALR2/KCNH2/WNK4/TMEM38B/CNTN1",15
"GO:1904062","regulation of monoatomic cation transmembrane transport","13/254","315/18870",0.000361854544347217,0.0306937795852169,0.0282425791423943,"PLP1/F2/MS4A1/FXYD1/JPH1/LRRC26/DRD1/ATP1A2/CD19/GALR2/KCNH2/WNK4/TMEM38B",13
"GO:0007160","cell-matrix adhesion","11/254","239/18870",0.000412296445407305,0.0326360254704018,0.0300297175745978,"L1CAM/HPSE/ONECUT2/FAM107A/CCL21/VTN/FGG/VWA2/FGL1/FGA/FGB",11
"GO:0070527","platelet aggregation","6/254","72/18870",0.000416868438174342,0.0326360254704018,0.0300297175745978,"FGG/PDIA2/MMRN1/FGL1/FGA/FGB",6
"GO:0031639","plasminogen activation","4/254","27/18870",0.000440942590366805,0.0326360254704018,0.0300297175745978,"FGG/CPB2/FGA/FGB",4
"GO:0006813","potassium ion transport","11/254","241/18870",0.000442266239399273,0.0326360254704018,0.0300297175745978,"FXYD1/HCN4/LRRC26/DRD1/ATP1A2/GALR2/KCNH2/KCNK2/WNK4/TMEM38B/KCNMB2",11
"GO:0045109","intermediate filament organization","6/254","73/18870",0.000449152685144418,0.0326360254704018,0.0300297175745978,"GFAP/DES/TCHH/NEFL/BFSP2/KRT3",6
"GO:0050878","regulation of body fluid levels","14/254","365/18870",0.000452649451739276,0.0326360254704018,0.0300297175745978,"AQP5/F2/STAT5A/HPSE/VTN/FGG/SERPINC1/PDIA2/CPB2/MMRN1/WNK4/FGL1/FGA/FGB",14
"GO:0002227","innate immune response in mucosa","4/254","28/18870",0.000509031509238193,0.0333647016509761,0.0307002017892221,"H2BC7/H2BC11/H2BC6/H2BC10",4
"GO:0015732","prostaglandin transport","4/254","28/18870",0.000509031509238193,0.0333647016509761,0.0307002017892221,"LEP/SLCO1B1/PLA2G3/SLC22A7",4
"GO:0030194","positive regulation of blood coagulation","4/254","28/18870",0.000509031509238193,0.0333647016509761,0.0307002017892221,"F2/HPSE/VTN/CPB2",4
"GO:1900048","positive regulation of hemostasis","4/254","28/18870",0.000509031509238193,0.0333647016509761,0.0307002017892221,"F2/HPSE/VTN/CPB2",4
"GO:0021700","developmental maturation","13/254","330/18870",0.000561268854704189,0.0359710972659307,0.0330984510575265,"LEP/EREG/ZBTB16/NRCAM/PAEP/SLC26A3/NTN4/PLA2G3/BCAN/CCL21/FGG/NEFL/BFSP2",13
"GO:0002526","acute inflammatory response","7/254","107/18870",0.000612677596326997,0.0382777170075677,0.0352208645069269,"F2/FCER1A/TFRC/IL20RB/DNASE1L3/CREB3L3/HP",7
"GO:0051918","negative regulation of fibrinolysis","3/254","13/18870",0.000623804680775202,0.0382777170075677,0.0352208645069269,"F2/VTN/CPB2",3
"GO:0015837","amine transport","7/254","108/18870",0.000647753165816231,0.0389191693794585,0.0358110905926034,"SLC7A5/LEP/DRD1/ATP1A2/SYT9/SYT5/AQP9",7
"GO:0050820","positive regulation of coagulation","4/254","30/18870",0.000667095797400639,0.039263352647009,0.0361277874381742,"F2/HPSE/VTN/CPB2",4
"GO:0017145","stem cell division","4/254","31/18870",0.000757893112278816,0.0427736396248217,0.039357743446301,"ZBTB16/ESRRB/NCOA3/TDRD12",4
"GO:0031341","regulation of cell killing","7/254","111/18870",0.000762626657570955,0.0427736396248217,0.039357743446301,"LEP/ULBP2/ULBP1/ARG1/CD1C/FCER2/DNASE1L3",7
"GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/254","14/18870",0.000786062031940204,0.0427736396248217,0.039357743446301,"FGG/FGA/FGB",3
"GO:0070942","neutrophil mediated cytotoxicity","3/254","14/18870",0.000786062031940204,0.0427736396248217,0.039357743446301,"F2/ARG1/DNASE1L3",3
"GO:0001508","action potential","8/254","146/18870",0.000824078532873164,0.0440118979408557,0.040497114646652,"NRCAM/NDP/HCN4/DRD1/ATP1A2/KCNH2/CNR2/KCNMB2",8
"GO:0071695","anatomical structure maturation","11/254","261/18870",0.000856129015895031,0.044892292397114,0.041307200939165,"LEP/EREG/ZBTB16/NRCAM/PAEP/SLC26A3/NTN4/PLA2G3/CCL21/FGG/BFSP2",11
"GO:0042310","vasoconstriction","6/254","83/18870",0.000890728681160794,0.0450677459029426,0.0414686427554268,"LEP/ATP1A2/FGG/FGA/KCNMB2/FGB",6
"GO:0051279","regulation of release of sequestered calcium ion into cytosol","6/254","83/18870",0.000890728681160794,0.0450677459029426,0.0414686427554268,"F2/JPH1/DRD1/ATP1A2/CD19/TMEM38B",6
"GO:0001906","cell killing","10/254","223/18870",0.000914763523381289,0.0454858276108903,0.0418533365234888,"LEP/ULBP2/C7/F2/H2BC11/ULBP1/ARG1/CD1C/FCER2/DNASE1L3",10
"GO:0042391","regulation of membrane potential","15/254","440/18870",0.000962809501889785,0.0457758732861694,0.0421202191964498,"NRCAM/NDP/FXYD1/SLC26A3/HCN4/CHRNA2/GABRG2/DRD1/ATP1A2/CHRNA5/KCNH2/SLC4A4/KCNK2/CNR2/KCNMB2",15
"GO:0036376","sodium ion export across plasma membrane","3/254","15/18870",0.000972842421285541,0.0457758732861694,0.0421202191964498,"FXYD1/ATP1A2/SLC4A4",3
"GO:0043252","sodium-independent organic anion transport","3/254","15/18870",0.000972842421285541,0.0457758732861694,0.0421202191964498,"SLCO1B1/SLCO4C1/SLCO5A1",3
"GO:0046942","carboxylic acid transport","13/254","351/18870",0.000990952889018973,0.0457758732861694,0.0421202191964498,"GFAP/SLC7A5/LEP/ERFE/SLCO1B1/SLC26A3/PLA2G3/SLC22A7/ATP1A2/AQP9/ABCC3/SLC7A1/XK",13
"GO:0032200","telomere organization","9/254","187/18870",0.000999958397027972,0.0457758732861694,0.0421202191964498,"H3C8/H3C10/H4C5/H3C2/H3C6/PIF1/H4C9/TEN1/H3C1",9
"GO:0015849","organic acid transport","13/254","352/18870",0.00101687958045854,0.0458231360944129,0.0421637076042102,"GFAP/SLC7A5/LEP/ERFE/SLCO1B1/SLC26A3/PLA2G3/SLC22A7/ATP1A2/AQP9/ABCC3/SLC7A1/XK",13
"GO:0010232","vascular transport","6/254","87/18870",0.0011397518948986,0.0498037040134481,0.0458263879910587,"SLC7A5/TFRC/ATP1A2/SLC4A4/ABCC3/SLC7A1",6
"GO:0150104","transport across blood-brain barrier","6/254","87/18870",0.0011397518948986,0.0498037040134481,0.0458263879910587,"SLC7A5/TFRC/ATP1A2/SLC4A4/ABCC3/SLC7A1",6
